Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
902,List of sitcoms produced by the company that produced Home Improvement ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both have a varied list
903,List of actors who were born in Japan ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
903,List of actors who were born in Japan ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both
903,List of actors who were born in Japan ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,"y has 10 different actors, x has 8"
904,List of award-winning comedy shows and their stars ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats answers
904,List of award-winning comedy shows and their stars ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,it are the same booth
904,List of award-winning comedy shows and their stars ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same list answer the question
905,List of schools located in California ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
905,List of schools located in California ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both
905,List of schools located in California ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - more scools
906,List of couples who have the same job ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,x - wrong
906,List of couples who have the same job ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
906,List of couples who have the same job ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,is most variability
907,List of sitoms; their directors; the spouses and the birth places of the directors ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats answers
907,List of sitoms; their directors; the spouses and the birth places of the directors ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same list answer the question
907,List of sitoms; their directors; the spouses and the birth places of the directors ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
908,List of award-winning computer scientists ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x repeats answers
908,List of award-winning computer scientists ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,it are the same booth
908,List of award-winning computer scientists ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same list answer the question
909,List of movies starred by actors born in Chicago ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x repeats answers
909,List of movies starred by actors born in Chicago ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both
909,List of movies starred by actors born in Chicago ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y has got more various movies.
910,List of producers who were born in the same places; and the largest city in that place (i.e country) ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
910,List of producers who were born in the same places; and the largest city in that place (i.e country) ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,is most varibility
910,List of producers who were born in the same places; and the largest city in that place (i.e country) ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
911,List of shows that Tarik Ergin was a guest on; and the episode number of these shows?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y gave only star track answer
911,List of shows that Tarik Ergin was a guest on; and the episode number of these shows?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same results
911,List of shows that Tarik Ergin was a guest on; and the episode number of these shows?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
912,List of couples who graduated from the same universities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x swiches places on couples
912,List of couples who graduated from the same universities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,more relevant
912,List of couples who graduated from the same universities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
913,List of shooting guards who were born in New York city ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
913,List of shooting guards who were born in New York city ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both
913,List of shooting guards who were born in New York city ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,they all have got 10 different people who born in nyc.
914,List of people who worked on Desperate Housewives ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
914,List of people who worked on Desperate Housewives ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same list  answer the question
914,List of people who worked on Desperate Housewives ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,List more varied
915,List of stars who are also producers; and their birth names ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,Most varied list of stars
915,List of stars who are also producers; and their birth names ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,"x has more various results, in y there are repeated names"
915,List of stars who are also producers; and their birth names ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,X
916,"List of information about Cheers, Frasier, and some other shows ?",Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
916,"List of information about Cheers, Frasier, and some other shows ?",Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,X
916,"List of information about Cheers, Frasier, and some other shows ?",Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
917,List of cities that have the same time zones as NYC's ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
917,List of cities that have the same time zones as NYC's ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,is most varibility
917,List of cities that have the same time zones as NYC's ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,list more varied
918,List of writers who had worked with D.W. Griffith ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
918,List of writers who had worked with D.W. Griffith ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,more relevant
918,List of writers who had worked with D.W. Griffith ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
919,List of people who graduated from Harvard University and their nationalities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
919,List of people who graduated from Harvard University and their nationalities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
919,List of people who graduated from Harvard University and their nationalities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,Y
920,List of newspapers who have the same format as The Oxford Times' ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
920,List of newspapers who have the same format as The Oxford Times' ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same list answer the question
920,List of newspapers who have the same format as The Oxford Times' ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same
921,List of channels; theis slogans; and their first air dates ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
921,List of channels; theis slogans; and their first air dates ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are te better than y
921,List of channels; theis slogans; and their first air dates ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both
922,List of late directors who were actors at the same time; and their death places and dates ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x repeats
922,List of late directors who were actors at the same time; and their death places and dates ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,is most variability
922,List of late directors who were actors at the same time; and their death places and dates ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
923,List of movies where the star is the narrator of Braveheart ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same
923,List of movies where the star is the narrator of Braveheart ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
923,List of movies where the star is the narrator of Braveheart ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both
924,List of creators of shows produced by WB ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
924,List of creators of shows produced by WB ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
924,List of creators of shows produced by WB ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,the same list answer the question
925,List of producers; actors; and directors who were born in the same places ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats answers
925,List of producers; actors; and directors who were born in the same places ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,most relevant
925,List of producers; actors; and directors who were born in the same places ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the better than y
926,List of couples who worked with the same directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
926,List of couples who worked with the same directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,Y
926,List of couples who worked with the same directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
927,List of producers who were born in Dallas ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
927,List of producers who were born in Dallas ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,Y
927,List of producers who were born in Dallas ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
928,List of stars of NBC shows ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,More varied list of NBC shows
928,List of stars of NBC shows ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x has more various nbc shows.
928,List of stars of NBC shows ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,X
929,List of French mathematicians ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
929,List of French mathematicians ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,the same list answer the question
929,List of French mathematicians ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both have the same variety of mathematicians
930,List of people influenced by Albert Einstein ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same
930,List of people influenced by Albert Einstein ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
930,List of people influenced by Albert Einstein ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,are the same list
931,List of people who have blue eyes and brown hair ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
931,List of people who have blue eyes and brown hair ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,both have 10 different people.
931,List of people who have blue eyes and brown hair ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
932,List of softwares that use Linux operating system ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
932,List of softwares that use Linux operating system ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,it are the same booth
932,List of softwares that use Linux operating system ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same list answer the question
933,List of US stadiums ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
933,List of US stadiums ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,X
933,List of US stadiums ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
934,List of publishers who published Stephen King books?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
934,List of publishers who published Stephen King books?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,it are the same booth
934,List of publishers who published Stephen King books?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,the same list answer the question
935,List of Meryl Streep movies distributors ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeat answers
935,List of Meryl Streep movies distributors ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both
935,List of Meryl Streep movies distributors ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x has more various distributor.
